source_id,name,layer,domain,status,owner,primary_url,data_access,machine_readable,primary_metrics,uncertainty_or_runs,license_or_terms,ingestion_tier,freshness,materialized_in_sample,notes
hf_benchmark_api,Hugging Face benchmark leaderboard API,meta,cross-domain,active,Hugging Face,https://huggingface.co/docs/hub/datasets-benchmark,REST API,yes,dataset-defined metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Dynamic discovery of datasets tagged benchmark:official and per-dataset leaderboard data.
hf_openevals,Hugging Face OpenEvals,model,cross-domain,active,Hugging Face,https://huggingface.co/datasets/OpenEvals/leaderboard-data,HF dataset/API,yes,wide benchmark score matrix,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Paginated live adapter included; 11 score columns materialized by retrieval date; unequal-coverage aggregate retained only as metadata.
hf_open_llm_leaderboard,Open LLM Leaderboard,model,general,active,Hugging Face,https://huggingface.co/spaces/open-llm-leaderboard/open_llm_leaderboard,HF dataset/Space,yes,benchmark suite aggregate and task scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Open-weight models; protocol generations must not be mixed.
lmarena,LM Arena / Chatbot Arena,model,human preference,active,LMSYS / LM Arena,https://lmarena.ai/leaderboard/text,HF dataset/API,yes,"Bradley-Terry rating, rank, votes, confidence intervals","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,yes,"Arena scores are preference measurements, not task accuracy."
artificial_analysis,Artificial Analysis LLM Performance,deployment,"quality, speed, price",active,Artificial Analysis,https://artificialanalysis.ai/leaderboards/models,public web table,partial,"Intelligence Index, price, speed, latency","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,yes,Commercial terms apply; use published table/API where licensed.
artificial_analysis_providers,Artificial Analysis API Provider Benchmarks,deployment,serving,active,Artificial Analysis,https://artificialanalysis.ai/leaderboards/providers,public web table,partial,"throughput, latency, reliability","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Provider routing layer; do not conflate with base-model quality.
alpaca_eval,AlpacaEval 2,model,instruction following,maintenance,Tatsu Lab,https://tatsu-lab.github.io/alpaca_eval/,GitHub CSV/HF dataset,yes,length-controlled win rate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,yes,Useful historic instruction-following signal; current coverage is limited.
helm_core,HELM Classic,model,holistic evaluation,maintenance,Stanford CRFM,https://crfm.stanford.edu/helm/classic/latest/,static site/GitHub artifacts,partial,"accuracy, calibration, robustness, fairness, efficiency","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,HELM entered maintenance mode in June 2026; preserve scenario/version metadata.
helm_lite,HELM Lite,model,general,maintenance,Stanford CRFM,https://crfm.stanford.edu/helm/lite/latest/,static site/GitHub artifacts,partial,scenario metrics and aggregate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Smaller standardized suite.
opencompass,OpenCompass Leaderboard,model,cross-domain,active,OpenCompass,https://opencompass.org.cn/leaderboard-llm,web/API/repository,partial,task scores and aggregates,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Large multilingual and multimodal evaluation ecosystem.
livebench,LiveBench,model,contamination-resistant general,active,LiveBench,https://livebench.ai/,public leaderboard/repository,yes,category and aggregate scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Time-stamped question sets help reduce contamination.
wildbench,WildBench,model,real-user instruction following,active,Allen Institute for AI,https://huggingface.co/spaces/allenai/WildBench,HF Space/dataset,yes,win rate and task-category scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,LLM-judge signal; preserve judge/version.
arena_hard_auto,Arena-Hard-Auto,model,instruction following,active,LM Arena,https://github.com/lmarena/arena-hard-auto,GitHub data,yes,win rate against reference,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Automated judge; reference/judge versions are first-class fields.
mt_bench,MT-Bench,model,multi-turn chat,maintenance,LMSYS,https://github.com/lm-sys/FastChat/tree/main/fastchat/llm_judge,GitHub results,yes,judge score by category,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Legacy but widely reported.
eqbench,EQ-Bench,model,emotional intelligence and writing,active,EQ-Bench,https://eqbench.com/,public leaderboard,partial,EQ and creative-writing scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Subjective/judge-heavy; use as a distinct capability dimension.
scale_seal,Scale SEAL Leaderboard,model,frontier reasoning,active,Scale AI,https://scale.com/leaderboard,public web table,partial,benchmark-specific accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Third-party frontier evaluation.
vals_index,Vals AI Benchmarks,model,domain and agent evaluations,active,Vals AI,https://www.vals.ai/benchmarks,public web tables,partial,benchmark-specific scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Independent evaluations; inspect each protocol separately.
simplebench,SimpleBench,model,reasoning,active,SimpleBench,https://simple-bench.com/,public leaderboard/repository,partial,accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Compact reasoning benchmark.
frontiermath,FrontierMath,model,advanced mathematics,active,Epoch AI,https://epoch.ai/frontiermath,public reports/dataset terms,partial,problem-solving accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,"Expert-authored, difficult math; access conditions vary by subset."
arc_agi,ARC-AGI Leaderboard,model,abstract reasoning,active,ARC Prize,https://arcprize.org/leaderboard,public leaderboard,partial,accuracy and cost,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Includes program synthesis/agentic test-time compute effects.
big_bench_hard,BIG-Bench Hard,model,reasoning,maintenance,Google Research,https://github.com/suzgunmirac/BIG-Bench-Hard,GitHub benchmark/results,yes,task accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Benchmark corpus more than a continuously updated leaderboard.
openllm_archive,Open LLM Leaderboard Archive,model,general,archived,Hugging Face community,https://huggingface.co/spaces/open-llm-leaderboard-old/open_llm_leaderboard,HF Space/dataset,yes,historic suite scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Keep protocol generations separate from the current leaderboard.
llm_stats,LLM Stats,deployment,capabilities and economics,active,LLM Stats,https://llm-stats.com/,public web table,partial,"context, benchmark scores, price","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,C,as published; snapshot every ingest,no,Aggregator; source provenance should be retained per field.
portkey_models,Portkey Model Catalog,deployment,pricing and routing,active,Portkey,https://models.portkey.ai/,public JSON/repository,yes,provider/model price and metadata,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Machine-readable catalog across many providers.
